
1,Adult,2,12/26/2021 12:47:27 PM,12/31/2021 2:28:09 PM,1Hrs40Mins,60
2,Child,3,12/26/2021 1:47:32 PM,12/31/2021 2:28:12 PM,0Hrs40Mins,30
3,Adult,1,12/27/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
4,Adult,1,12/27/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
5,Adult,2,12/27/2021 12:47:27 PM,12/31/2021 2:28:09 PM,1Hrs40Mins,60
6,Child,3,12/28/2021 1:47:32 PM,12/31/2021 2:28:12 PM,0Hrs40Mins,30
7,Adult,1,12/28/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
8,Adult,1,12/28/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
9,Child,1,12/28/2021 11:14:58 AM,12/31/2021 2:28:04 PM,3Hrs13Mins,65
10,Group,5,12/29/2021 12:47:23 PM,12/31/2021 2:28:06 PM,1Hrs40Mins,45
11,Adult,2,12/29/2021 12:47:27 PM,12/31/2021 2:28:09 PM,1Hrs40Mins,60
12,Child,3,12/29/2021 1:47:32 PM,12/31/2021 2:28:12 PM,0Hrs40Mins,30
13,Adult,1,12/29/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
14,Adult,1,12/30/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
15,Child,1,12/30/2021 11:14:58 AM,12/31/2021 2:28:04 PM,3Hrs13Mins,65
16,Group,5,12/30/2021 12:47:23 PM,12/31/2021 2:28:06 PM,1Hrs40Mins,45
17,Adult,2,12/30/2021 12:47:27 PM,12/31/2021 2:28:09 PM,1Hrs40Mins,60
18,Child,3,12/30/2021 1:47:32 PM,12/31/2021 2:28:12 PM,0Hrs40Mins,30
19,Adult,1,12/31/2021 10:18:03 AM,12/31/2021 2:28:00 PM,4Hrs9Mins,75
20,Child,1,12/31/2021 11:14:58 AM,12/31/2021 2:28:04 PM,3Hrs13Mins,65
21,Group,5,12/31/2021 12:47:23 PM,12/31/2021 2:28:06 PM,1Hrs40Mins,45
22,Adult,2,12/31/2021 12:47:27 PM,12/31/2021 2:28:09 PM,1Hrs40Mins,60
23,Child,3,12/31/2021 1:47:32 PM,12/31/2021 2:28:12 PM,0Hrs40Mins,30
24,Group,7,12/31/2021 1:47:43 PM,12/31/2021 2:28:15 PM,0Hrs40Mins,45
25,Adult,2,12/31/2021 2:14:48 PM,12/31/2021 2:28:18 PM,0Hrs13Mins,50
26,Child,3,12/31/2021 2:14:52 PM,12/31/2021 2:28:21 PM,0Hrs13Mins,30
27,Child,1,12/31/2021 2:17:58 PM,12/31/2021 2:28:24 PM,0Hrs10Mins,10
28,Adult,1,1/1/2022 12:57:55 AM,1/1/2022 12:58:31 AM,0Hrs0Mins,15
29,Child,3,1/1/2022 12:58:02 AM,1/1/2022 12:58:37 AM,0Hrs0Mins,39
30,Group,7,1/1/2022 12:58:09 AM,1/1/2022 12:58:42 AM,0Hrs0Mins,17
31,Adult,1,1/1/2022 5:11:38 PM,1/1/2022 5:30:02 PM,0Hrs18Mins,5
32,Group,6,1/1/2022 5:11:46 PM,1/1/2022 5:30:06 PM,0Hrs18Mins,9
33,Group,7,1/2/2022 12:58:09 AM,1/2/2022 12:58:42 AM,0Hrs0Mins,17
34,Adult,1,1/2/2022 5:11:38 PM,1/2/2022 5:30:02 PM,0Hrs18Mins,5
35,Group,6,1/2/2022 5:11:46 PM,1/2/2022 5:30:06 PM,0Hrs18Mins,9
36,Group,8,1/3/2022 12:36:38 AM,1/3/2022 12:36:51 AM,0Hrs0Mins,45
37,Adult,7,1/3/2022 12:33:34 PM,1/3/2022 12:37:56 PM,0Hrs4Mins,175
38,Adult,3,1/3/2022 12:34:27 PM,1/3/2022 12:38:03 PM,0Hrs3Mins,75
40,Child,1,1/3/2022 1:44:12 PM,1/3/2022 1:45:16 PM,0Hrs1Mins,11
41,Group,6,1/3/2022 1:46:12 PM,1/3/2022 1:46:23 PM,0Hrs0Mins,45
